nanoxml,4_2,1,start
nanoxml,4_2,1,coarse-grained.profile.time,264505
nanoxml,4_2,1,coarse-grained.profile.size,456
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv2/coarse-grained/output.sites
nanoxml,4_2,1,coarse-grained.profile.number,594
nanoxml,4_2,1,fine-grained.profile.time,891445
nanoxml,4_2,1,fine-grained.profile.size,1709
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv2/fine-grained/output.sites
nanoxml,4_2,1,fine-grained.profile.number,5012
nanoxml,4_2,1,fine-grained.preprocess.size,182120
nanoxml,4_2,1,fine-grained.preprocess.time,737
nanoxml,4_2,1,fine-grained.preprocess.number,164 
nanoxml,4_2,1,fine-grained.preprocess.time_p,598.0
nanoxml,4_2,1,fine-grained.mine.size,5840
nanoxml,4_2,1,fine-grained.mine.time,1785
nanoxml,4_2,1,boost,0.05
nanoxml,4_2,1,boost.functions.count,4
nanoxml,4_2,1,boost.includes,-sampler-include-method=-net.n3.nanoxml.CDATAReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.CDATAReader--void-close--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA--- -sampler-include-method=-net.n3.nanoxml.XMLUtil--char-processCharLiteral-java.lang.String--
nanoxml,4_2,1,boost.preprocess.size,44920
nanoxml,4_2,1,boost.preprocess.time,309
nanoxml,4_2,1,boost.preprocess.number,6 
nanoxml,4_2,1,boost.preprocess.time_p,204.0
nanoxml,4_2,1,boost.mine.size,5828
nanoxml,4_2,1,boost.mine.time,1490
nanoxml,4_2,1,theta,0.234513
nanoxml,4_2,1,prune.functions.count,46
nanoxml,4_2,1,prune.includes,-sampler-include-method=-net.n3.nanoxml.CDATAReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.CDATAReader--void-close--- -sampler-include-method=-net.n3.nanoxml.ContentReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.ContentReader--void-close--- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-attributeAdded-java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-elementAttributesProcessed-java.lang.String,java.util.Properties,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-elementStarted-java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-addAttribute-java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-addPCData-java.io.Reader,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-endElement-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-startElement-java.lang.String,java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--java.lang.Object-parse--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processAttribute-java.util.Vector,java.util.Vector,java.util.Vector-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processElement-java.lang.String,java.util.Properties-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processSpecialTag-boolean-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-scanData--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-scanSomeTag-boolean,java.lang.String,java.util.Properties-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOF--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--char-read--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--int-getLineNr--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--int-getStreamLevel--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-stream2reader-java.io.InputStream,java.lang.StringBuffer-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.lang.String-getEncoding-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--net.n3.nanoxml.IXMLReader-fileReader-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--void-startNewStream-java.io.Reader,boolean-- -sampler-include-method=-net.n3.nanoxml.XMLElement--boolean-hasAttribute-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--boolean-hasChildren--- -sampler-include-method=-net.n3.nanoxml.XMLElement--int-getChildrenCount--- -sampler-include-method=-net.n3.nanoxml.XMLElement--java.lang.String-getAttribute-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--java.util.Enumeration-enumerateAttributeNames--- -sampler-include-method=-net.n3.nanoxml.XMLElement--net.n3.nanoxml.XMLAttribute-findAttribute-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void--init--java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void-addChild-net.n3.nanoxml.IXMLElement-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void-setAttribute-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--boolean-isExternalEntity-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--java.io.Reader-getEntity-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--boolean-checkLiteral-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--char-processCharLiteral-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-read-net.n3.nanoxml.IXMLReader,char-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanIdentifier-net.n3.nanoxml.IXMLReader-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanString-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-processEntity-java.lang.String,net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipWhitespace-net.n3.nanoxml.IXMLReader,java.lang.StringBuffer-- -sampler-include-method=-net.n3.nanoxml.XMLWriter--void-write-net.n3.nanoxml.IXMLElement,boolean,int-- -sampler-include-method=-net.n3.nanoxml.XMLWriter--void-writeEncoded-java.lang.String--
nanoxml,4_2,1,prune.preprocess.size,161992
nanoxml,4_2,1,prune.preprocess.time,634
nanoxml,4_2,1,prune.preprocess.number,154 
nanoxml,4_2,1,prune.preprocess.time_p,513.0
nanoxml,4_2,1,prune.mine.size,6052
nanoxml,4_2,1,prune.mine.time,1718
nanoxml,4_2,1,boost.profile.time,84149
nanoxml,4_2,1,boost.profile.size,167
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv2/boost/output.sites
nanoxml,4_2,1,boost.profile.number,306
nanoxml,4_2,1,prune.profile.time,901831
nanoxml,4_2,1,prune.profile.size,860
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv2/prune/output.sites
nanoxml,4_2,1,prune.profile.number,2432
nanoxml,4_2,1,prune-minus-boost.profile.time,888280
nanoxml,4_2,1,prune-minus-boost.profile.size,768
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv2/prune-minus-boost/output.sites
nanoxml,4_2,1,prune-minus-boost.profile.number,2126
nanoxml,4_2,1,end
