gzip,5_1,1,start
gzip,5_1,1,coarse-grained.profile.time,13380
gzip,5_1,1,coarse-grained.profile.size,864
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv1/v5_subv1_c.sites
gzip,5_1,1,coarse-grained.profile.number,97
gzip,5_1,1,fine-grained.profile.time,464482
gzip,5_1,1,fine-grained.profile.size,876348
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv1/v5_subv1_f.sites
gzip,5_1,1,fine-grained.profile.number,4005694
gzip,5_1,1,fine-grained.preprocess.size,2929980
gzip,5_1,1,fine-grained.preprocess.time,127472
gzip,5_1,1,fine-grained.preprocess.number,27110 
gzip,5_1,1,fine-grained.preprocess.time_p,127141.0
gzip,5_1,1,fine-grained.mine.size,5748
gzip,5_1,1,fine-grained.mine.time,182513
gzip,5_1,1,boost,0.05
gzip,5_1,1,boost.functions.count,4
gzip,5_1,1,boost.includes,-sampler-include-method=compress_block -sampler-include-method=ct_tally -sampler-include-method=fill_window -sampler-include-method=longest_match
gzip,5_1,1,boost.preprocess.size,956176
gzip,5_1,1,boost.preprocess.time,4093
gzip,5_1,1,boost.preprocess.number,5440 
gzip,5_1,1,boost.preprocess.time_p,3935.0
gzip,5_1,1,boost.mine.size,5792
gzip,5_1,1,boost.mine.time,1632
gzip,5_1,1,theta,0.678677
gzip,5_1,1,prune.functions.count,32
gzip,5_1,1,prune.includes,-sampler-include-method=add_envopt -sampler-include-method=base_name -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=init_block -sampler-include-method=input_eof -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,5_1,1,prune.preprocess.size,1893532
gzip,5_1,1,prune.preprocess.time,43151
gzip,5_1,1,prune.preprocess.number,21946 
gzip,5_1,1,prune.preprocess.time_p,42908.0
gzip,5_1,1,prune.mine.size,5912
gzip,5_1,1,prune.mine.time,125811
gzip,5_1,1,boost.profile.time,233175
gzip,5_1,1,boost.profile.size,56356
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv1/v5_subv1_b.sites
gzip,5_1,1,boost.profile.number,206652
gzip,5_1,1,prune-minus-boost.profile.time,135583
gzip,5_1,1,prune-minus-boost.profile.size,264492
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv1/v5_subv1_pmb.sites
gzip,5_1,1,prune-minus-boost.profile.number,1164658
gzip,5_1,1,end
