pid,top-k,percent4_1
space,top-1,0.8380176998721603
space,top-5,0.8538185423860077
space,top-10,0.8655801212986783
sed,top-1,0.9569592316836442
sed,top-5,1.2149874036066879
sed,top-10,1.251689469585546
gzip,top-1,0.6630509806722927
gzip,top-5,0.8982124327674128
gzip,top-10,0.783947480229226
grep,top-1,0.6535597402041475
grep,top-5,0.9220816296100606
grep,top-10,0.8434414932153144
bash,top-1,0.8146810542344678
bash,top-5,1.00443551344078
bash,top-10,1.002028153077676
nanoxml,top-1,1.3822884776030884
nanoxml,top-5,1.4097992794028142
nanoxml,top-10,1.3773133500617252
siena,top-1,1.7011494252873562
siena,top-5,1.6898395721925132
siena,top-10,1.700135685210312
ant,top-1,1.1389230999362594
ant,top-5,1.1342753429133907
ant,top-10,1.1836580734035085
derby,top-1,1.737566213314245
derby,top-5,1.6207109037738479
derby,top-10,1.752059105217099
lang,top-1,1.1149900740549088
lang,top-5,1.1538772691486492
lang,top-10,1.2370907985669282
chart,top-1,0.9337851022028656
chart,top-5,0.8615121847642354
chart,top-10,1.0281204211260437
math,top-1,1.4296073377240524
math,top-5,1.1135337274931927
math,top-10,1.247288102341688
time,top-1,0.5689684068860522
time,top-5,0.8589972358429061
time,top-10,0.8797426184376386
mockito,top-1,1.4445381783772429
mockito,top-5,1.421695428445285
mockito,top-10,1.3783981915266599
closure,top-1,0.8650479463593264
closure,top-5,0.9988139672571974
closure,top-10,0.925223283156939
